hw_synset_7451	戏剧性、戏剧化	形容词，引人注目的表现或变化。
hw_synset_46960	饶头	名词，给予物质的宽裕或富足。
hw_synset_7531	肉墩墩、敦敦实实、结实粗壮、墩墩实实、敦实	形容词，形容体格健壮、结实的人或物。
hw_synset_7082	十分脆弱、弱不禁风	形容词，身体虚弱，容易受伤。
hw_synset_7066	精神不振、神志委靡、委靡不振、萎靡不振、恹	形容词，精神状态低落，缺乏活力。
hw_synset_5996	遍布、扩散、放散、发散、发	动词，由聚集而分开，向外扩展或分布的状态。
hw_synset_5145	存、攒	动词，积累和储存物品或资源的行为
hw_synset_36311	漫天要价	动词，价格过高的要求。
hw_synset_29221	开低价	动词，提出低廉价格的建议。
hw_synset_16312	穷追、猛追	动词，紧紧追赶的行为。
hw_synset_5402	逃亡、流亡、逃遁、披靡、逃逸	动词，因不利环境而迅速离开的行为或状态
hw_synset_14914	失节、不忠	动词，背叛信任或道德的行为。
hw_synset_6194	孝顺、孝敬	动词，孝顺尊敬(长辈)。
hw_synset_2233	同乡、乡亲、乡里、乡邻、国人	名词，指同一地区或籍贯的人群关系
hw_synset_10316	驴骡	名词，一种常见的家畜，通常用于劳作。
hw_synset_9905	同盟会	名词，中国的政治团体。
hw_synset_5367	给予、给与、安、给、给以	动词，使他人获得某种东西或经历的行为
hw_synset_2982	兴致、情趣、情致、来头、爱好	名词，对事物或活动的喜好和兴趣情感
hw_synset_3421	恶感、反感	名词，对某事物产生的不满或厌恶情绪
hw_synset_32588	新鲜货	名词，刚生产或刚到货的商品。
hw_synset_10368	二手货、旧货	名词，使用过的物品。
hw_synset_44113	输出	名词，计算机传输的结果。
hw_synset_4174	渔舟、渔船、渔轮	名词，用于捕鱼的船只或设备
hw_synset_3943	舍间、舍下、寒舍	名词，谦辞，指对自己家或住所的称呼
hw_synset_849	登革热、骨痛热	名词，由蚊子传播的急性传染病，症状包括高热和多种疼痛。
hw_synset_838	病患、病、病痛、疾病、疾患	名词，生理或心理上不正常的状态或症状
hw_synset_23	清秀、韶秀	形容词，美丽而不显得庸俗的外貌特征
hw_synset_269	丑陋、丑恶、丑	形容词，外表或形态上令人不悦的状态
hw_synset_27612	定盘星	名词，用于测量和标定的符号工具。
hw_synset_34572	正面	名词，积极、向上的态度或表现。
hw_synset_3423	背面、反面	名词，与正面相对的物体表面或方向
hw_synset_11508	刻工	名词，从事雕刻工作的工匠。
hw_synset_1357	水母、海蜇	名词，腔肠动物，身体半球形，青蓝色，半透明，上面有伞状部分，下面有八条口腕，口腕下端有丝状器官。生活在海中，靠伞状部分的伸缩而运动。伞状部分叫海蜇皮，口腕叫海蜇头，可以吃。有的地区叫。
hw_synset_121	常务、永久、终古、常任、恒久	形容词，持久或永远存在的状态或属性
hw_synset_274	初步、临时、暂行	形容词，暂时性或初步阶段的状态或措施
hw_synset_42757	讨厌的人	名词，令人厌恶的人。
hw_synset_9639	大红人、红人	名词，受欢迎的人。
hw_synset_22012	分界	名词，划分不同区域或国家的界限。
hw_synset_7576	过夜、隔夜	形容词，在夜间停留或住宿。
hw_synset_4598	麻油、香油、芝麻油	名词，用芝麻榨取的具有特殊香味的食用油
hw_synset_13876	百忙中、百忙	名词，在繁忙的时间中。
hw_synset_6893	有两下子、有两手、有一套、有一手	形容词，有能力或技巧的人。
hw_synset_8521	文人	名词，有知识的文化人。
hw_synset_7418	自成体系、自成一家、自成一体、自成系统	形容词，具有独特结构或特点的系统。
hw_synset_7076	例行、例行公事、日常、眼面前	形容词，日常发生的事情。
hw_synset_47552	黑帮	名词，从事非法活动的团体。
hw_synset_2134	教头、教练	名词，指导和培训他人的专业人员
hw_synset_14575	升堂入室、登堂入室	动词，进入更高层次或境界。
hw_synset_15170	如痴如狂、如痴如醉、陶醉、如醉如痴	动词，沉浸在极度快乐或迷醉的状态中。
hw_synset_16204	闵、悯	动词，感到忧伤或同情。
hw_synset_7397	世态炎凉、世情冷暖	形容词，社会变迁带来的冷暖感受。
hw_synset_328	可靠、把稳、保险	形容词，稳妥可信。
hw_synset_589	高龄、大龄	形容词，属性词。岁数较大的(就一般标准来说)。
hw_synset_20011	低龄	形容词，年龄较小的个体。
hw_synset_10549	人造革、仿皮、合成革	名词，人造的皮革材料。
hw_synset_2428	旧交、故人、故知、故旧、旧知	名词，指过去的朋友或友谊，强调长久的交情。
hw_synset_9414	野食儿	名词，非法获得的钱财。
hw_synset_1793	金钱、钱财、财帛、钱、财富	名词，具有价值的货币或物品
hw_synset_7474	为时尚早、为时过早	形容词，时间尚未成熟。
hw_synset_7245	不及、为时已晚	形容词，超出时间限制，已无法挽回。
hw_synset_20412	信贷	名词，与借贷相关的金融事务。
hw_synset_230	谡谡、挺拔	形容词，形容直立而高耸的状态或特征
hw_synset_6884	鬈、波浪式、蜷曲	形容词，弯曲的形状或状态。
hw_synset_7527	其次、从、二次	形容词，第二位或后续的。
hw_synset_97	首席、主导、首要、头、基本	形容词，指在某一领域或事物中最重要或最前面的部分。
hw_synset_38944	秘方	名词，治疗疾病的特殊方法。
hw_synset_9123	蛏子	名词，一种可食用的海洋软体动物。
hw_synset_2835	库房、堆房	名词，用于储存物品的房间或建筑
hw_synset_7499	无人问津、无人过问	形容词，无人关注或理会的状态。
hw_synset_396	绘声绘色、活、活泼、传神、灵动	形容词，形容表现生动、活泼且富有感染力的状态
hw_synset_5124	搭茬儿、答茬儿	动词，继续回应他人言语的交流方式
hw_synset_3269	牢什子、劳什子	名词，使人感到厌烦的事物或东西
hw_synset_25146	善行	名词，有益于他人的行为。
hw_synset_3972	红领巾、少先队、队	名词，与少年先锋队相关的组织和标志
hw_synset_1486	舌面后音、舌根音	名词，舌面后部接近软腭发出的辅音音素
hw_synset_3260	音响、声音、动静、音、声	名词，通过听觉感知的声波现象或效果
hw_synset_40785	育儿袋	名词，用于携带儿童的袋子。
hw_synset_10584	大少爷、长男、长子	名词，家中年长的男性子嗣。
hw_synset_2941	爸爸、老爹、老子、爹、爹爹	名词，对有子女男性的称呼，表达亲情和尊敬。
hw_synset_537	小手小脚、孬、胆怯、熊、虚	形容词，缺乏勇气和胆量的状态或表现
hw_synset_7095	智勇双全、智勇无双	形容词，既聪明又勇敢的人。
hw_synset_3918	行旅、旅客、游客、游人、客	名词，出行或游览的人员，通常不在本地居住
hw_synset_9712	蛟龙	名词，一种传说中的水中生物。
hw_synset_4487	白醋、醋	名词，用于调味的酸味液体，常见于烹饪中
hw_synset_1479	教导员、指导员	名词，中国人民解放军中负责政治工作的军官职务
hw_synset_10301	红药水	名词，用于外伤消毒的液体药物。
hw_synset_7364	蓬乱、蓬头散发、蓬散	形容词，头发杂乱无序。
hw_synset_14135	茶末、茶叶末	名词，茶叶的残余部分。
hw_synset_2291	板油、脂油	名词，猪体腔内壁的板状脂肪组织
hw_synset_34546	正方形	名词，四边相等的平面图形。
hw_synset_5091	露、流露、暴露、泄漏、漏	动词，使隐藏的事物或情感显露出来的状态
hw_synset_681	静、静态	形容词，安定不动(跟“动”相对)。
hw_synset_7723	动态、动	形容词，与行动相关的状态或过程。
hw_synset_35409	法盲	名词，对法律知识缺乏了解的人。
hw_synset_7320	未受教育、胸无点墨	形容词，缺乏教育和知识的人。
hw_synset_3248	箴言、座右铭、诤言、训词	名词，用于劝诫或激励的简短语句或格言
hw_synset_6950	取之不尽、无穷无尽、用之不竭	形容词，源源不断的丰富资源。
hw_synset_12	稀罕、稀、少许、寥寥、稀少	形容词，数量少或存在稀少的状态或特征
hw_synset_7387	浊、浊声浊气	形容词，声音低沉而不清晰。
hw_synset_7825	雷鸣、雷动	形容词，震耳欲聋的声音。
hw_synset_42556	视差	名词，观察物体时产生的视觉差异现象。
hw_synset_5123	启齿、开腔、开口	动词，张嘴说话或表达意见的行为
hw_synset_10567	仁人、仁者	名词，有仁爱之心的人。
hw_synset_10553	人面兽心、衣冠禽兽	名词，心地恶劣、外表人类的兽性之人。
hw_synset_6314	哈气、哈	动词，张口呼气。
hw_synset_16225	吸、吸入、歙	动词，将空气或气体引入体内。
hw_synset_3044	肥、肥料、粪肥	名词，供给植物养分以促进生长的物质
hw_synset_39177	窄小空间	名词，狭小的区域或场所。
hw_synset_36352	澥	动词，稀薄的状态变化。
hw_synset_5948	浓缩、凝、缩合	动词，由气体变成液体或由液体变成固体。
hw_synset_2092	遗书、遗嘱	名词，与死者遗留的书面表达有关的文书
hw_synset_28223	尧舜	名词，中国古代的贤明君主。
hw_synset_7628	粗粒度、粗颗粒度	形容词，颗粒较大的物质或材料。
hw_synset_7439	精粹、精萃	形容词，提炼出的精华。
hw_synset_11627	势利小人、势利眼	名词，只看重地位和财富的人。
hw_synset_37059	狷介之士	名词，正义感强的人。
hw_synset_3057	冰锥、冰柱、凌锥	名词，雪后滴水凝结成的锥形冰块
hw_synset_3056	冰凌、冰	名词，水在低温下凝结成的固体状态
hw_synset_8421	过敏	名词，对特定物质产生异常反应的状态。
hw_synset_3806	桐、油桐	名词，落叶乔木，具有经济价值和多种用途的植物
hw_synset_34709	毁誉	名词，对事物的评价，包括赞美和批评。
hw_synset_9621	彩绸、彩	名词，色彩鲜艳的布料。
hw_synset_44657	通案	名词，普遍适用的案例或情况。
hw_synset_7084	入木三分、冥、奥	形容词，深刻而难以理解的事物。
hw_synset_14625	言听计从、言听计用	动词，顺从他人意见或指示。
hw_synset_14942	舛、失	动词，违反或不遵循规定。
hw_synset_17292	零售、零卖	动词，小规模销售商品。
hw_synset_16713	趸卖、趸售	动词，一次性出售大量商品。
hw_synset_8818	壮丁	名词，成年男性。
hw_synset_15323	随之而来、接踵而来	动词，紧接着出现的事物。
hw_synset_4818	秉持、坚持、遵从、遵循、宾服	动词，依照他人意愿或规定行事的行为状态
hw_synset_5645	穿戴、佩、戴、佩戴、着装	动词，与穿着和佩戴物品相关的行为和状态
hw_synset_6068	扒、卸、摘、剥离、褪	动词，去掉或取下物体表面或附着物的动作
hw_synset_387	素朴、朴素、平实、平易、清真	形容词，简单、纯真、不矫饰的特质或风格
hw_synset_5438	崛起、产生、显露、纷呈、出	动词，指事物的出现、显露或开始发展状态
hw_synset_7399	离心离德、悖逆、携贰	形容词，背叛、违背忠诚的行为。
hw_synset_7092	万夫不当、万夫莫当	形容词，无人能敌的勇敢。
hw_synset_776	条幅、立轴	名词，长条形的字画，通常用于展示和装饰
hw_synset_774	号、记号、徽记、帽子、机徽	名词，用于标识、识别或表明特征的物品或符号
hw_synset_30098	情节	名词，故事中的事件或发展。
hw_synset_13127	斗士	名词，为争斗而战的人。
hw_synset_19863	伟人	名词，杰出的人物。
hw_synset_11693	鹤发、白发	名词，白色的头发，通常指年长者。
hw_synset_33330	最接近	形容词，最为接近的。
hw_synset_33338	最远	形容词，距离最远的地方。
hw_synset_1226	世代、万世、万代	名词，指许多年代或时间的延续与传承
hw_synset_14925	藏奸、不愿	动词，不愿意做某事。
hw_synset_5087	乐、乐于	动词，感到快乐和愉悦的情感状态
hw_synset_8578	萱草	名词，一种常见的花草植物。
hw_synset_30382	战火殃及的地区	名词，受到战争影响的地方。
hw_synset_9914	党员	名词，中国共产党成员。
hw_synset_957	伉俪、鸾凤、夫妻、夫妇、两口子	名词，指一对相互伴侣的男女关系
hw_synset_7241	有棱角、有个性、个性鲜明	形容词，性格独特且明显。
hw_synset_7616	无把握、没把握	形容词，缺乏信心或确定性。
hw_synset_241	灰色、含糊、含混、暧昧、潦草	形容词，不明确或模糊的状态或表现
hw_synset_8173	从古至今、旷古、从古到今、自古以来、自古	副词，自古以来的漫长时间。
hw_synset_8119	霎时间、霎时	副词，短暂的瞬间。
hw_synset_15143	抬起、撬	动词，将物体向上移动。
hw_synset_14742	投下、投	动词，将物体向下或向前抛出。
hw_synset_565	香、馥郁、喷香、香喷喷、香馥馥	形容词，形容香气浓厚、好闻的状态或特征
hw_synset_7716	腐臭、刺鼻	形容词，散发难闻气味的状态。
hw_synset_18441	两极	名词，地球的两个极端区域。
hw_synset_3310	大地、地球、环球、环宇	名词，指整个地球或全球的概念
hw_synset_11300	暮冬、冬末、深冬	名词，冬季的最后阶段。
hw_synset_14546	犯嘀咕、跼蹐、局促不安、局蹐、跼促、局促	动词，感到不安或焦虑的状态。
hw_synset_14762	矢志不移、矢志不渝	动词，坚定不移地追求目标。
hw_synset_15100	抠搜、抠唆	动词，懒惰、不愿意付出努力。
hw_synset_38561	磁头	名词，用于读取和记录信息的机器部件。
hw_synset_28504	工矿	名词，与工业和矿业相关的事务。
hw_synset_15814	成定局、定局	动词，已确定的结果或局面。
hw_synset_14893	敞着口儿、未决	动词，尚未确定的状态。
hw_synset_13	稀世、希世	形容词，世间极为稀少的事物或现象
hw_synset_6952	那么多、如许	形容词，数量众多的。
hw_synset_46355	霞	名词，晨曦中的天体光辉。
hw_synset_868	射线、天日、光、亮光、光明	名词，与光相关的现象或物质，通常用于照明和视觉。
hw_synset_7061	刚劲、刚劲有力	形容词，力量强劲且清晰。
hw_synset_9207	小摩托车、小轮摩托	名词，小型的自动摩托车。
hw_synset_18841	主题曲	名词，主要的音乐作品。
hw_synset_7105	无亲无故、非亲非故	形容词，没有亲近关系的人。
hw_synset_7019	亲兄弟般、亲姐妹一样、亲姐妹似的、兄弟般	形容词，关系非常亲密的人。
hw_synset_27053	好人	名词，品德高尚的人。
hw_synset_47	众多、宽松、诜、盛、济济一堂	形容词，形容数量多、丰富或充足的状态
hw_synset_13555	歌本	名词，收录歌曲的书籍。
hw_synset_30286	成例	名词，典型的实例或范例。
hw_synset_14547	张皇、慌张张、慌张、慌手慌脚、慌里慌张、手足无措、慌慌张张、慌神、张皇失措、惑然、慌乱、无所措手足、慌	动词，心情不安，表现出慌乱和无措。
hw_synset_37614	电机	名词，利用电能驱动的机器。
hw_synset_26299	外宾	名词，来自外国的访客。
hw_synset_22773	匈奴	名词，古代游牧民族，曾在中亚活动。
hw_synset_8172	历久、久、地老天荒、很长时间、已久	副词，经过很长时间。
hw_synset_699	一时、暂	副词，短时间内的状态或情况
hw_synset_7683	慧眼独具、独具慧眼、有眼力、独具只眼	形容词，具有独特洞察力的人。
hw_synset_7081	体衰、体弱、单、体力不支	形容词，身体虚弱，力量不足。
hw_synset_358	精壮、粗壮、生猛、盛、精神	形容词，形容身体强壮有力，充满活力和生气。
hw_synset_9205	吉普、吉普车	名词，一种四轮驱动的越野车。
hw_synset_1424	大车、马车、小车、兽力车、手推车	名词，各种类型的车，通常用于运输或载人。
hw_synset_12971	开场戏、开场白	名词，表演的开始部分或介绍。
hw_synset_113	平行、共时	形容词，属性词。指历史发展中同一时代的(跟“历时”相对)。
hw_synset_23397	历时	形容词，持续一段时间的状态或过程。
hw_synset_16375	放步、大步行走	动词，快速行走的方式。
hw_synset_4779	勃兴、滋蔓	动词，迅速发展或扩展的状态
hw_synset_7453	无限大、无穷大	形容词，没有边界或限制的巨大程度。
hw_synset_609	狭小、狭隘、狭窄	形容词，范围小，空间有限的状态或特征
hw_synset_6995	侈、侈糜	形容词，奢侈浪费的行为。
hw_synset_3520	后任、接班人	名词，接替前任工作或职务的人
hw_synset_7240	毫不犹豫、不犹豫、毫不动摇	形容词，坚定果断的态度。
hw_synset_44301	近亲	名词，家庭成员之间的亲密关系。
hw_synset_14156	远亲、葭莩之亲	名词，远方的亲属。
hw_synset_23615	双翼	名词，成对的翅膀。
hw_synset_14512	莫明其妙、一头雾水	动词，对某事感到困惑或不理解。
hw_synset_6918	成套、整套、配套	形容词，完整的一组物品或系统。
hw_synset_7323	零散、零零散散	形容词，不完整或分散的状态。
hw_synset_9652	高师	名词，高等教育机构的教师。
hw_synset_6910	爽心悦目、赏心悦目	形容词，令人愉悦的美好体验。
hw_synset_33155	普惠制	名词，普遍适用的经济政策。
hw_synset_45661	门牌	名词，建筑物的标志或号码。
hw_synset_7498	平铺直叙、平铺直序	形容词，简单直接的叙述方式。
hw_synset_398	可笑、好笑、发噱、好玩儿、入味	形容词，引人发笑或引起兴趣的特质或状态
hw_synset_15700	排他、排斥	动词，拒绝接纳或允许他人。
hw_synset_43929	车工	名词，从事切削工作的工业职业。
hw_synset_3433	门生、学徒、学徒工、徒工、艺徒	名词，跟随师傅学习技术或知识的人
hw_synset_28712	师父	名词，教导他人的人。
hw_synset_9969	内阁、阁	名词，政府的管理机构。
hw_synset_4944	首创、创始、萌动、开工、始创	动词，表示某事物或活动的开始或起点。
hw_synset_4797	闭幕、落幕	动词，演出或节目结束时的状态或动作
hw_synset_42084	螺旋桨	名词，用于推动飞行器的旋转部件。
hw_synset_1282	航空器、飞行器、飞机	名词，能够在空中飞行的各种器械或装置
hw_synset_29198	建筑学	名词，研究建筑及其设计的学科。
hw_synset_2355	花眼、老花眼	名词，因年龄导致的近视力下降，需用眼镜矫正。
hw_synset_37185	现代舞	名词，当代风格的舞蹈表演。
hw_synset_702	偶尔、偶或、有时、间或、时而	副词，表示不定期或偶然发生的时间状态
hw_synset_706	按例、照例、照说、时常、照常	副词，表示频繁或经常发生的状态或行为
hw_synset_35570	洹	名词，中国的一条河流。
hw_synset_142	随意、随便、顺嘴、顺口	形容词，(词句)念着流畅。
hw_synset_7704	特为、特地、特	形容词，专门为某个目的而做的。
hw_synset_1230	圣诞、圣诞节	名词，基督教徒庆祝耶稣诞生的节日，定于12月25日。
hw_synset_14233	问卷	名词，用于收集意见或信息的调查表。
hw_synset_1702	专集、特刊、特辑、专辑、专版	名词，围绕特定主题或内容编辑的文字资料或刊物
hw_synset_7358	不是滋味儿、不是味儿	形容词，口感不佳或令人不快。
hw_synset_7182	顺口、顺嘴	形容词，容易入口的美味。
hw_synset_27483	安妥	名词，安全且妥当的状态。
hw_synset_47225	高利	名词，高额利息或利润。
hw_synset_1066	特使、公使、来使、使节	名词，国家派驻或派遣的外交代表，执行特定任务或交涉。
hw_synset_13060	艾滋病	名词，一种通过性接触传播的严重疾病。
hw_synset_45624	长篇	形容词，内容较长的文本。
hw_synset_38388	短篇	形容词，简短的文字作品。
hw_synset_36818	版主	名词，负责管理论坛内容的人。
hw_synset_7296	铁石心肠、心如铁石、难说话	形容词，心肠冷酷，难以沟通。
hw_synset_28968	幻景	名词，虚幻的景象或场景。
hw_synset_27680	实景	名词，真实存在的景象。
hw_synset_14491	迷途失群、失群	动词，迷失方向或与群体分离。
hw_synset_14928	大白于天下、大白	动词，广为人知的真相。
hw_synset_14495	过眼云烟、烟消云散、过眼烟云	动词，瞬间消逝的事物。
hw_synset_11839	原木	名词，未经加工的木材。
hw_synset_11840	木、木头	名词，树木的材料。
hw_synset_30062	悲观主义者	名词，对未来持消极态度的人。
hw_synset_6935	侃、优柔	形容词，温和而不果断的态度。
hw_synset_30111	惊蛰	名词，春季节气之一，标志着春天的开始。
hw_synset_1117	口、大门、进口、入口、门洞儿	名词，出入建筑物或场地的通道或入口
hw_synset_2302	猪、猪猡、生猪	名词，一种适应性强、可供食用的哺乳动物
hw_synset_13327	韬略	名词，军事斗争中的策略与计划。
hw_synset_2815	派对、晚会、聚会	名词，人们聚集在一起进行社交活动的场合
hw_synset_46785	题记	名词，书刊前的引言或说明。
hw_synset_28070	将才	名词，有军事才能的人。
hw_synset_13443	木工	名词，从事木材加工的工人。
hw_synset_2807	酒店、店、客店、旅店	名词，规模小设备简陋的旅馆。
hw_synset_2570	妇女、娘儿们	名词，成年女性的称谓，可能带有轻蔑色彩
hw_synset_4027	帆、风帆	名词，利用风力推动船只前进的布篷
hw_synset_5089	裸露、光、赤	动词，身体没有遮盖，显露的状态
hw_synset_48	密密麻麻、密麻麻	形容词，形容数量众多且排列紧密的状态
hw_synset_596	形销骨立、嶙峋、骨瘦如柴、皮包骨、清癯	形容词，形容人极其消瘦，骨骼突出，缺乏脂肪。
hw_synset_7463	虚胖、虚肿、肥头大耳	形容词，看似肥胖但实际上并不健康的体态。
hw_synset_12695	宪政、立宪	名词，以宪法为基础的政治制度。
hw_synset_9878	私企	名词，私人经营的企业。
hw_synset_37099	獾油	名词，獾提取的油脂，常用于药物。
hw_synset_7506	瑞、祺	形容词，吉祥、幸福的象征。
hw_synset_81	苦涩、可怜、沉痛、凄怆、苦	形容词，形容悲伤、痛苦和困苦的状态或情感
hw_synset_78	相近、近	形容词，彼此距离短，空间或时间上接近的状态
hw_synset_11	杳眇、杳渺	形容词，形容遥远或深远的状态
hw_synset_4587	胜仗、胜局	名词，与胜利相关的战斗或局势
hw_synset_43341	败绩	名词，失败的结果。
hw_synset_856	毒药、毒剂	名词，军事用品，用于毒害人和动物的化学物质，通常是毒气。
hw_synset_7355	扑朔迷离、迷离扑朔	形容词，模糊不清的状态。
hw_synset_7060	不言而喻、自不待言	形容词，显而易见的事情。
hw_synset_3515	名著、名作	名词，有名且具有重要价值的作品或著作
hw_synset_339	无味、寡味、寡淡、乏味	形容词，没有趣味。
hw_synset_20934	入味	形容词，食物吸收了调料的味道。
hw_synset_26291	外在意义	名词，表面上的信息或意义。
hw_synset_3011	奥义、奥旨	名词，深奥的含义或义理，难以理解。
hw_synset_1814	参考书、工具书	名词，用于查考和参考的书籍，提供信息和知识。
hw_synset_11128	流食	名词，可食用的液态食物。
hw_synset_2439	回味、余味	名词，食物或经历后留下的可回想的味道或感觉
hw_synset_32996	易懂	形容词，容易理解的。
hw_synset_7265	不能理解、令人费解	形容词，难以领会的事物。
hw_synset_7729	北行、向北	形容词，朝向北方的方向。
hw_synset_7756	向南、南行	形容词，朝南的方向或移动。
hw_synset_45627	长羽毛	名词，鸟类身上的长毛。
hw_synset_15359	列、列入	动词，将某物放入某个范围或列表中。
hw_synset_15699	略去不提、捝、略去	动词，省略或不提及某事。
hw_synset_10434	罗布麻、红麻	名词，一种用于纺织的植物材料。
hw_synset_191	木、木讷	形容词，反应迟缓，性格朴实，不善言辞。
hw_synset_315	妙、巧妙	形容词，灵巧高明，超出常规的技巧或方法
hw_synset_38794	离了婚的人	名词，经历过离婚的人。
hw_synset_3127	踢脚板、踢脚线	名词，室内墙壁下部的保护层，通常用木条或其他材料制成。
hw_synset_15833	独立、获得独立	动词，不依赖他人，自主生活或行动。
hw_synset_15351	赖、赖以	动词，依靠或依赖的状态。
hw_synset_19076	事假	名词，因私事请假的时间。
hw_synset_16120	啧啧称奇、叹、咏赞	动词，对事物表示赞美和惊叹。
hw_synset_5241	叱责、斥骂、训斥、问罪、撸	动词，用严厉言辞指出错误或进行批评的行为
hw_synset_14857	镇定自若、面不改色、面不改色心不跳	动词，保持冷静、不受外界影响的状态。
hw_synset_7880	好使、干净利落、好用、有效	形容词，使用方便且效果显著。
hw_synset_43	不济、不行	形容词，指无用或效果差的状态
hw_synset_13090	铁索	名词，用金属材料制成的线状物，用于固定。
hw_synset_7648	夜不闭户、路不拾遗、道不拾遗	形容词，社会风气良好，治安稳定。
hw_synset_163	颓废、颓败、昏天黑地	形容词，衰退；堕落。
hw_synset_39681	繁星	名词，众多的天体在夜空中闪烁。
hw_synset_10348	辩士	名词，擅长辩论的人。
hw_synset_41956	薄利	名词，利润微薄的商业交易。
hw_synset_31038	抽不出身	动词，无法离开或脱身。
hw_synset_38801	离得开	动词，能够离开或脱离的状态。
hw_synset_34258	桥面	名词，桥梁的表面部分。
hw_synset_91	涩滞、肉、沉滞、老气横秋、死气沉沉	形容词，形容动作或气氛迟缓、不活跃的状态
hw_synset_5937	安息、歇息、安歇	动词，休息和睡眠的状态或行为
hw_synset_14621	苏、苏醒	动词，恢复意识或活力。
hw_synset_20247	便血	名词，排泄物中带血的现象。
hw_synset_3623	把手、把	名词，便于用手抓握或操作的物件部分
hw_synset_2995	器械、工具、器物、器具、用具	名词，用于生产或生活的各种器具和用具的统称
hw_synset_4308	案子、案件、案例	名词，与法律相关的事件或例子的统称
hw_synset_407	公营、公立、公共、共同	形容词，属于社会或大家共同使用的属性或机构
hw_synset_23386	历史反革命	名词，反对历史进程的政治行为。
hw_synset_10625	远方、远处	名词，距离较远的地方。
hw_synset_2727	手边、手头	名词，指伸手可及的地方或物品。
hw_synset_11439	刑事	名词，与犯罪相关的法律事务。
hw_synset_290	民营、私立、民办、私营	形容词，由个人或集体创办和经营的机构或企业
hw_synset_14098	自变量、自变数	名词，在数学中，独立变化的量。
hw_synset_45999	陈述句	名词，用语言表达的说明性句子。
hw_synset_6385	撵、赶	动词，追逐或赶上某物的动作
hw_synset_18416	东门	名词，建筑物的东侧入口。
hw_synset_1562	丫鬟、丫头	名词，旧时富人家雇用的女孩子，通常负责家务。
hw_synset_9267	升调、阳平	名词，语音中的一种音调变化。
hw_synset_27721	客运	名词，运送乘客的服务。
hw_synset_1440	上下文、语境	名词，与特定词语或句子相关的环境和背景信息
hw_synset_4249	晨光、曙光、曙色	名词，清晨时分的光线和色彩现象
hw_synset_21659	冷凝器	名词，用于制冷的设备。
hw_synset_11591	发热器、暖炉、加热器	名词，用于加热空间的设备。
hw_synset_40883	能事	名词，能够处理的事情。
hw_synset_4800	通、关照、反映、禀告、传告	动词，向他人传达信息或情况的行为
hw_synset_26293	外地	名词，来自其他地方的人或事物。
hw_synset_12219	在室内、室内	名词，位于房屋内部的空间。
hw_synset_12221	室外、户外、露天、在户外	名词，房屋外的空间或环境。
hw_synset_40898	能租用	形容词，可以借用的。
hw_synset_24150	可出租	形容词，可以借出使用的。
hw_synset_19460	人选	名词，被选中的人。
hw_synset_15532	着眼于、着眼	动词，关注某事物或问题。
hw_synset_5078	无所谓、冷淡	动词，对事物不关心或缺乏热情的态度
hw_synset_4317	棚户、贫民窟	名词，居住条件差、生活贫困的社区或人群
hw_synset_6446	讨、娶、迎娶	动词，把女子接过来成亲的行为
hw_synset_5964	出阁、聘、出聘、嫁、出嫁	动词，女子结婚的相关词汇
hw_synset_296	顺耳、悦耳	形容词，(话)合乎心意，听着舒服。
hw_synset_46187	难听	形容词，声音刺耳或不悦耳。
hw_synset_44629	通俗易懂	形容词，简单明了，易于理解。
hw_synset_7266	费解、难理解、难懂	形容词，难以理解的事物。
hw_synset_13984	粗工	名词，从事粗糙工作的工人。
hw_synset_1196	枫、槭	名词，落叶乔木，秋季变色，木材坚韧，可制器具或入药。
hw_synset_35006	水彩	名词，用水溶性颜料绘制的艺术作品。
hw_synset_10110	秸、麦草、刍、秸秆	名词，植物的干燥茎秆部分。
hw_synset_10585	孙子、孙、嫡孙	名词，直系男性后代。
hw_synset_5305	透风、泄、捅、敞、发	动词，揭示或显露隐秘事物的行为或过程
hw_synset_15430	窝、窝藏	动词，隐藏或藏匿的地方。
hw_synset_898	一刹那、分秒、寸阴、分阴、片时	名词，指极短的时间或瞬间。
hw_synset_1872	老爷、主儿	名词，旧时对雇主或家庭主人的称呼
hw_synset_4291	果肉、瓤子、瓤	名词，水果内部可食用的部分，通常是肉质的。
hw_synset_39442	签证	名词，允许进入某国的官方文书。
hw_synset_3077	决策、决议	名词，通过讨论或思考做出的决定或策略
hw_synset_12881	巴	名词，巴基斯坦的简称。
hw_synset_3673	纸、纸张、楮	名词，用于书写和印刷的植物纤维制成的材料
hw_synset_1347	凤尾鱼、鲚	名词，鲚的一种，体长约15—20厘米，主要吃小的鱼虾等。通称凤尾鱼。
hw_synset_3763	男子汉、大丈夫、好汉	名词，指有志气、勇敢或有作为的男性。
hw_synset_1059	胡说、废话、屁话、胡话	名词，没有实际价值或意义的话语
hw_synset_27979	对门	名词，对面房屋。
hw_synset_15511	弄脏、沾污、使脏	动词，使物体表面变得不干净。
hw_synset_15504	荡涤、祓	动词，清除污垢或杂质。
hw_synset_9177	评书	名词，一种传统的口头表演艺术。
hw_synset_4958	余剩、盈余、剩余、余、剩	动词，从某个数量中减去后遗留下来的部分
hw_synset_5316	缺乏、欠缺、缺、欠、短欠	动词，表示数量不足或不够的状态或情况
hw_synset_7077	屡见不鲜、数见不鲜、累见不鲜	形容词，常见的事物。
hw_synset_9801	知府	名词，地方官员，负责管理行政事务。
